symbol,date,1. open,2. high,3. low,4. close,5. volume
MCHP,2023-12-29,90.5300,91.7900,89.7200,90.1800,10692416
MCHP,2023-12-22,92.6000,92.6300,88.4700,90.1900,21386233
MCHP,2023-12-15,87.1800,94.1400,86.9200,92.2000,33398608
MCHP,2023-12-08,84.1200,86.7500,82.8900,86.0800,21543726
MCHP,2023-12-01,82.3900,84.8000,81.1434,84.6600,21737474
MCHP,2023-11-24,83.2300,85.1300,82.0800,83.2600,12648988
MCHP,2023-11-17,76.6500,84.1600,75.6900,83.5300,27440596
MCHP,2023-11-10,76.3200,77.7725,73.5800,77.5600,26388807
MCHP,2023-11-03,70.8800,77.0000,68.7500,76.4300,41277409
MCHP,2023-10-27,74.9200,76.4100,70.9100,72.2600,25690995
MCHP,2023-10-20,77.7900,79.9500,75.1800,75.3600,20852928
MCHP,2023-10-13,78.6700,81.6700,77.2300,77.4600,19281797
MCHP,2023-10-06,78.2800,80.0200,76.1600,79.5400,19388718
MCHP,2023-09-29,76.5100,79.5800,75.2400,78.0500,17406489
MCHP,2023-09-22,77.3200,78.6850,75.6695,77.0800,17094368
MCHP,2023-09-15,80.0000,80.6300,77.1700,77.6300,23277104
MCHP,2023-09-08,81.6900,82.5900,78.0900,78.7800,18378525
MCHP,2023-09-01,80.0500,82.8800,79.6200,82.2900,19556089
MCHP,2023-08-25,79.7000,81.8518,77.2200,79.3700,24087686
MCHP,2023-08-18,81.5500,83.0500,77.5900,79.4100,20574858
MCHP,2023-08-11,83.6900,85.3400,81.6200,81.7700,24483938
MCHP,2023-08-04,93.4900,94.3000,82.0150,83.4600,30639041
MCHP,2023-07-28,89.5800,93.4000,87.8650,93.1000,25916004
MCHP,2023-07-21,89.2900,93.5800,87.7700,89.7200,26247799
MCHP,2023-07-14,87.0200,92.7500,87.0200,89.7200,24050188
MCHP,2023-07-07,90.7050,91.3900,85.9100,86.6200,18781959
MCHP,2023-06-30,82.3900,90.0500,82.2300,89.5900,21486484
MCHP,2023-06-23,84.7300,85.2600,80.8000,81.9700,16013227
MCHP,2023-06-16,80.8000,87.1300,80.6100,85.4900,33907541
MCHP,2023-06-09,77.5000,82.1100,74.7400,80.0700,25369164
MCHP,2023-06-02,80.0000,80.1300,74.1746,77.2000,21554197
MCHP,2023-05-26,77.3800,79.6300,71.3475,78.3200,32899213
MCHP,2023-05-19,73.6700,78.4900,73.2400,77.8700,19694456
MCHP,2023-05-12,75.1900,75.8450,71.5300,73.8100,23659926
MCHP,2023-05-05,73.4000,78.0050,70.7500,75.1800,31965653
MCHP,2023-04-28,76.7500,77.2800,70.3000,72.9900,25207261
MCHP,2023-04-21,78.8300,82.2550,76.1700,76.8000,19297574
MCHP,2023-04-14,78.1800,81.5800,77.9100,79.5300,14099505
MCHP,2023-04-06,83.5500,84.3300,77.3400,78.7000,17252337
MCHP,2023-03-31,79.5800,83.9200,76.1650,83.7800,22852566
MCHP,2023-03-24,81.0400,83.7900,78.9100,79.4300,23075925
MCHP,2023-03-17,80.5801,83.7100,79.0500,80.7100,32714639
MCHP,2023-03-10,83.1500,85.7800,81.3100,81.5700,22912746
MCHP,2023-03-03,81.4100,82.8700,78.9600,82.6000,18675384
